Informant,porch 10.7,Comments,
NY64C!,side porch,,
NJ1A,porch,,
NJ1B,porch,,
NJ1B,stoop,"small, with a seat on each side",
NJ1B,piazza,= porch,
NJ2A,porch,,
NJ2A,platform,"small, usually no roof",
NJ2B,porch,,
NJ3A,porch,,
NJ3A,portico,"small, usually no roof",
NJ3A,piazza,,
NJ3B,porch,,
NJ4A,porch,,
NJ4B,porch,,
NJ4B,portico,,
NJ5A,porch,,
NJ5B,porch,,
NJ6A,porch,,
NJ6B,porch,,
NJ7A,porch,,
NJ7A,porch,,
NJ7A,piazza,,
NJ7A,stoop,"""back, smaller roof”",
NJ7B!,porch,,
NJ7B!,portico,small,
NJ8A,porch,,
NJ8B,porch,,
NJ9A,porch,,
NJ9A,stoop,,
NJ9B,porch,,
NJ9B,stoop,"""no roof”",
NJ10A,porch,same [as stoop],
NJ10A,stoop,same [as porch],
NJ10B,porch,,
NJ10B,stoop,,
NJ10C,porch,,
NJ10C,stoop,"""no roof”",
NJ10D!,porch,,
NJ10D!,stoop,smaller [than porch],
NJ11A,porch,,
NJ11A,portico,,
NJ11B,porch,,
NJ11B,stoop,"""small, no roof”",
NJ11C,porch,,
NJ12A,porch,,
NJ12A,stoop,,
NJ12B,porch,,
NJ12B,stoop,,
NJ13A,porch,,
NJ13A,stoop,"""small, no roof”",
NJ13A,stoop,"""small, no roof”",
NJ13B,stoop,small,
NJ13B,porch,small,
NJ13B,portico,small,
NJ14A,porch,,
NJ14A,stoop,,
NJ14B,porch,,
NJ14B,stoop,small,
NJ15A,porch,,
NJ15B,porch,,
NJ16A,porch,,
NJ16A,stoop,,
NJ16B,porch,,
NJ17A,porch,,
NJ17A,stoop,"""no roof”",
NJ17A,stoop,"""no roof”",
NJ17B,stoop,"""small roof only”",
NJ17B,porch,,
NJ18A,porch,,
NJ18A,piazza,larger [than porch]; rare,
NJ18A,stoop,small,
NJ18B,porch,,
NJ18B,stoop,"""small”",
NJ18C!,stoop,,
NJ18C!,porch,,
NJ18D!,porch,,
NJ18D!,piazza,"""rare; large”",
NJ18D!,stoop,"""as a child; smaller [than porch]”",
NJ19A,porch,recent,
NJ19A,stoop,natural,
NJ19A,veranda,"""larger [than porch]”",
NJ19B!,porch,,
NJ19B!,stoop,"""more”",
NJ20A,stoop,,
NJ20B,porch,,
NJ20B,stoop,natural,
NJ21A,stoop,,
NJ21A,porch,"""larger [than stoop]”",
NJ21A,piazza,"""also; larger [than stoop]”",
NJ21B,porch,,
NJ21B,stoop,"""small”",
PA1A,porch,,
PA1B,porch,,
PA1B,doorstep,"""very small”",
PA1C,porch,,
PA1C,stoops,"""very small”",
PA1C,piazza,,
PA1D,veranda,wide,
PA1D,porch,,
PA1D,piazza,,
PA1E!,doorstep,"""in city”",
PA1E!,porch,"""in country home”",
PA1E!,piazza,"between main & back building; also residential, closed in",
PA1F!,porch,,
PA1G!,porch,"""usually roof”",
PA1G!,doorstep,"""small, unroofed”",
PA1H!,porch,,
PA2A,porch,,
PA2A,stoop,"""for small ones”",
PA2B,porch,,
PA3A,porch,,
PA3A,portico,"""small”",
PA3B,porch,,
PA3C,porch,,
PA4A,porch,,
PA4B!,porch,,
PA4B!,stoop,= doorstep or uncovered platform,
PA5A,porch,,
PA5A,porch,,
PA5B,porch,,
PA5C,porch,,
PA5D,porch,,
